Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method
Books,46.61,1,Wrong item,Returned,42,Male,City12,Credit Card,Next-Day
Clothing,284.49,4,,Not Returned,48,Female,City59,Credit Card,Next-Day
Books,169.93,5,Wrong item,Returned,40,Male,City40,Credit Card,Next-Day
Books,146.37,4,,Not Returned,23,Female,City66,Debit Card,Express
Electronics,444.43,4,,Not Returned,48,Female,City27,Debit Card,Next-Day
Home,35.16,3,Defective,Returned,48,Female,City27,PayPal,Next-Day
Home,287.93,4,,Not Returned,66,Female,City14,Debit Card,Standard
Books,448.84,2,Changed mind,Returned,60,Male,City20,Gift Card,Express
Toys,168.68,2,,Not Returned,48,Male,City22,PayPal,Standard
Books,466.62,3,,Not Returned,24,Male,City83,Debit Card,Express
Clothing,51.56,4,,Not Returned,37,Male,City95,Credit Card,Express
Toys,79.31,1,,Not Returned,37,Female,City36,Gift Card,Next-Day
Home,315.11,5,Defective,Returned,50,Female,City71,PayPal,Express
Clothing,259.57,2,Not as described,Returned,55,Female,City90,Credit Card,Next-Day
Clothing,137.72,3,,Not Returned,45,Male,City8,Debit Card,Standard
Electronics,464.67,4,,Not Returned,54,Male,City26,Gift Card,Standard
Toys,197.66,4,Not as described,Returned,59,Female,City9,Credit Card,Next-Day
Books,79.9,4,Defective,Returned,42,Female,City73,PayPal,Express
Electronics,265.23,4,Changed mind,Returned,57,Male,City89,Credit Card,Next-Day
Books,91.84,2,Not as described,Returned,56,Female,City7,Credit Card,Next-Day
Clothing,468.62,2,,Not Returned,31,Male,City27,Gift Card,Next-Day
Books,245.44,5,Changed mind,Returned,29,Female,City34,PayPal,Standard
Toys,116.2,2,,Not Returned,37,Male,City69,Gift Card,Next-Day
Home,400.21,3,,Not Returned,69,Female,City20,PayPal,Standard
Electronics,490.8,2,Changed mind,Returned,37,Female,City23,Credit Card,Express
Books,310.14,2,,Not Returned,54,Male,City65,PayPal,Express
Home,247.46,2,,Not Returned,48,Male,City52,Gift Card,Next-Day
Home,255.71,2,,Not Returned,57,Male,City76,Credit Card,Standard
Books,172.02,1,,Not Returned,46,Female,City11,Credit Card,Next-Day
Clothing,170.05,2,,Not Returned,23,Male,City56,Debit Card,Express
Toys,314.35,3,,Not Returned,22,Male,City3,Credit Card,Standard
Electronics,319.34,1,,Not Returned,54,Male,City76,Gift Card,Next-Day
Books,219.29,2,Changed mind,Returned,56,Male,City6,Credit Card,Express
Electronics,174.94,1,Defective,Returned,62,Female,City48,PayPal,Next-Day
Home,85.28,2,,Not Returned,20,Female,City70,Credit Card,Express
Books,18.83,1,Wrong item,Returned,27,Male,City26,Gift Card,Standard
Electronics,291.09,4,Changed mind,Returned,19,Female,City14,Debit Card,Express
Toys,386.51,1,Wrong item,Returned,27,Male,City50,Credit Card,Standard
Electronics,285.21,4,Not as described,Returned,32,Male,City44,Debit Card,Next-Day
Clothing,238.63,2,,Not Returned,46,Female,City27,Credit Card,Express
Books,16.55,4,Changed mind,Returned,21,Female,City32,Credit Card,Express
Home,161.94,5,Changed mind,Returned,68,Female,City61,Gift Card,Standard
Clothing,173.42,1,Wrong item,Returned,33,Female,City34,Gift Card,Express
Electronics,199.13,4,,Not Returned,50,Female,City17,Credit Card,Express
Electronics,219.56,1,,Not Returned,24,Female,City11,Debit Card,Standard
Toys,288.71,3,Defective,Returned,60,Male,City57,Credit Card,Express
Clothing,66.65,2,,Not Returned,58,Female,City90,PayPal,Express
Clothing,328.09,3,,Not Returned,59,Female,City29,Gift Card,Next-Day
Clothing,222.62,3,,Not Returned,53,Female,City79,PayPal,Express
Toys,404.5,1,,Not Returned,31,Female,City77,Gift Card,Express
Toys,438.43,4,,Not Returned,32,Male,City12,Credit Card,Express
Books,402.79,2,Wrong item,Returned,23,Female,City37,PayPal,Next-Day
Toys,140.06,1,,Not Returned,42,Male,City40,Gift Card,Next-Day
Home,255.92,1,,Not Returned,18,Female,City81,Debit Card,Standard
Clothing,444.83,1,Defective,Returned,20,Female,City2,PayPal,Express
Electronics,27.23,3,,Not Returned,42,Male,City56,Credit Card,Express
Books,332.49,4,Changed mind,Returned,66,Female,City43,Credit Card,Express
Home,469.69,5,,Not Returned,28,Female,City26,Gift Card,Express
Books,31.93,5,,Not Returned,40,Male,City94,Debit Card,Standard
Books,24.41,5,,Not Returned,69,Male,City4,Credit Card,Next-Day
Clothing,217.79,4,Defective,Returned,40,Male,City62,PayPal,Express
Clothing,434.66,2,Not as described,Returned,19,Female,City81,Debit Card,Standard
Books,32.48,2,,Not Returned,57,Female,City47,Gift Card,Standard
Toys,231.11,5,Changed mind,Returned,40,Female,City6,Credit Card,Next-Day
Toys,291.43,4,Defective,Returned,22,Male,City73,PayPal,Express
Electronics,128.65,1,Changed mind,Returned,37,Female,City62,Debit Card,Next-Day
Books,396.48,5,Wrong item,Returned,69,Male,City36,Debit Card,Express
Books,300.03,1,,Not Returned,42,Male,City90,Credit Card,Next-Day
Books,324.85,5,Defective,Returned,51,Female,City66,Debit Card,Express
Toys,443.71,3,,Not Returned,19,Female,City96,Credit Card,Express
Books,458.16,5,Defective,Returned,24,Female,City58,PayPal,Express
Clothing,118.2,5,Changed mind,Returned,32,Male,City93,Gift Card,Standard
Home,138.23,2,Wrong item,Returned,28,Female,City95,PayPal,Express
Toys,47.05,3,Not as described,Returned,43,Female,City29,Gift Card,Express
Toys,9.03,5,Not as described,Returned,39,Male,City35,Credit Card,Standard
Toys,143.73,2,,Not Returned,49,Female,City21,PayPal,Next-Day
Clothing,381.39,1,Changed mind,Returned,24,Female,City75,Debit Card,Next-Day
Electronics,140.05,5,,Not Returned,67,Female,City73,PayPal,Next-Day
Toys,326.97,4,,Not Returned,26,Female,City61,PayPal,Next-Day
Books,130.9,2,,Not Returned,59,Male,City71,Gift Card,Express
Electronics,80.81,5,Not as described,Returned,61,Male,City23,Gift Card,Standard
Clothing,233.21,1,,Not Returned,54,Female,City39,Debit Card,Standard
Electronics,244.32,5,Not as described,Returned,56,Female,City40,PayPal,Standard
Clothing,69.89,4,Wrong item,Returned,41,Male,City27,Credit Card,Express
Toys,340.06,3,Not as described,Returned,56,Female,City92,Credit Card,Next-Day
Toys,191.81,4,Changed mind,Returned,34,Female,City79,Debit Card,Express
Books,488.64,4,,Not Returned,25,Male,City100,Gift Card,Standard
Clothing,360.81,3,Wrong item,Returned,61,Male,City10,PayPal,Next-Day
Home,142.79,1,Not as described,Returned,56,Male,City6,PayPal,Next-Day
Clothing,356.89,2,Defective,Returned,36,Female,City33,Debit Card,Standard
Clothing,406.41,1,,Not Returned,36,Male,City66,Debit Card,Express
Books,55.35,3,,Not Returned,62,Female,City45,Debit Card,Express
Toys,323.29,1,Not as described,Returned,55,Male,City61,Gift Card,Express
Clothing,178.98,4,,Not Returned,27,Male,City43,Credit Card,Next-Day
Home,482.75,3,,Not Returned,32,Female,City40,Credit Card,Standard
Clothing,136.22,2,Wrong item,Returned,20,Female,City4,Credit Card,Express
Home,182.01,4,,Not Returned,24,Male,City14,PayPal,Next-Day
Electronics,6.5,5,Wrong item,Returned,51,Male,City74,Credit Card,Express
Electronics,124.46,4,,Not Returned,63,Male,City69,Debit Card,Standard
Home,13.04,5,,Not Returned,44,Female,City32,Credit Card,Next-Day
Home,252.78,1,,Not Returned,45,Male,City6,Gift Card,Standard
Clothing,82.57,5,,Not Returned,62,Female,City75,Credit Card,Next-Day
Electronics,47.64,1,,Not Returned,19,Male,City93,Gift Card,Next-Day
Electronics,323.61,2,,Not Returned,33,Female,City21,Credit Card,Express
Clothing,325.87,4,,Not Returned,60,Male,City26,Credit Card,Express
Clothing,362.81,5,Not as described,Returned,37,Male,City12,Gift Card,Express
Home,317.9,4,,Not Returned,68,Male,City98,Credit Card,Next-Day
Toys,419.62,1,,Not Returned,19,Male,City93,PayPal,Standard
Home,279.06,5,,Not Returned,54,Male,City43,Debit Card,Express
Electronics,435,3,,Not Returned,64,Male,City100,Debit Card,Standard
Electronics,358.69,5,Wrong item,Returned,68,Female,City37,Gift Card,Standard
Clothing,321.88,1,,Not Returned,60,Female,City70,Credit Card,Express
Books,198.21,2,Not as described,Returned,67,Female,City59,Debit Card,Next-Day
Toys,54.72,5,Not as described,Returned,69,Male,City2,Debit Card,Next-Day
Electronics,488.4,3,Not as described,Returned,51,Female,City90,Debit Card,Standard
Books,270.92,1,Defective,Returned,36,Female,City27,PayPal,Standard
Toys,465.76,1,,Not Returned,66,Female,City66,Credit Card,Next-Day
Toys,102.7,1,,Not Returned,53,Male,City25,PayPal,Next-Day
Toys,489.62,1,,Not Returned,61,Female,City95,PayPal,Next-Day
Clothing,221.05,2,,Not Returned,29,Female,City21,PayPal,Express
Clothing,393.44,3,Not as described,Returned,52,Male,City7,Gift Card,Standard
Clothing,128.35,3,Not as described,Returned,37,Male,City64,Gift Card,Standard
Toys,144.86,4,Changed mind,Returned,64,Male,City22,Debit Card,Next-Day
Home,179.56,2,,Not Returned,28,Female,City48,Credit Card,Express
Clothing,409.65,2,Not as described,Returned,64,Male,City23,Credit Card,Express
Home,170.03,3,Defective,Returned,21,Male,City74,PayPal,Standard
Books,367.8,5,,Not Returned,61,Male,City78,Gift Card,Standard
Books,143.01,4,,Not Returned,50,Male,City7,PayPal,Standard
Books,277.15,1,Wrong item,Returned,67,Male,City93,Credit Card,Next-Day
Books,261.91,3,,Not Returned,65,Male,City70,Credit Card,Standard
Home,427.99,2,Defective,Returned,62,Male,City35,Debit Card,Next-Day
Home,130.63,1,Defective,Returned,40,Female,City53,Gift Card,Next-Day
Toys,185.67,5,,Not Returned,33,Male,City36,PayPal,Standard
Home,345.5,5,Defective,Returned,56,Male,City58,Gift Card,Standard
Books,427.1,4,,Not Returned,44,Male,City1,Debit Card,Express
Toys,54.41,2,,Not Returned,61,Male,City80,Debit Card,Express
Home,273.54,1,,Not Returned,22,Female,City79,PayPal,Next-Day
Home,329.59,4,Changed mind,Returned,41,Male,City22,PayPal,Standard
Home,359.73,5,Wrong item,Returned,50,Female,City84,PayPal,Standard
Toys,378.25,5,Changed mind,Returned,27,Male,City73,Debit Card,Standard
Clothing,150.56,5,,Not Returned,50,Male,City82,Gift Card,Standard
Toys,291.63,1,,Not Returned,53,Male,City89,Gift Card,Express
Clothing,151.4,1,Changed mind,Returned,24,Male,City14,Debit Card,Express
Clothing,89.8,5,Wrong item,Returned,43,Female,City28,PayPal,Standard
Clothing,246.71,3,Not as described,Returned,18,Male,City47,Gift Card,Standard
Toys,150.75,2,Changed mind,Returned,24,Female,City29,Debit Card,Express
Electronics,478.53,1,,Not Returned,64,Female,City82,Credit Card,Standard
Clothing,72.07,3,,Not Returned,67,Female,City13,Debit Card,Next-Day
Toys,331.08,3,Defective,Returned,65,Male,City58,Gift Card,Next-Day
Books,27.39,3,Changed mind,Returned,56,Female,City99,Debit Card,Express
Home,341.03,4,Defective,Returned,69,Female,City62,Gift Card,Express
Toys,299.98,4,Changed mind,Returned,43,Female,City8,Credit Card,Next-Day
Electronics,14.88,4,,Not Returned,41,Male,City80,Credit Card,Standard
Home,80.88,3,Not as described,Returned,35,Female,City46,PayPal,Next-Day
Home,450.4,5,Changed mind,Returned,42,Female,City25,Gift Card,Express
Toys,382.22,5,Changed mind,Returned,51,Male,City1,Debit Card,Express
Books,485.32,4,Wrong item,Returned,60,Female,City23,Credit Card,Express
Clothing,80.4,4,,Not Returned,50,Female,City79,Gift Card,Express
Toys,46.83,5,,Not Returned,27,Male,City65,Debit Card,Standard
Books,121.7,2,,Not Returned,25,Male,City56,Credit Card,Express
Electronics,35.8,2,,Not Returned,65,Female,City22,PayPal,Express
Home,395.28,4,Defective,Returned,47,Male,City29,Credit Card,Express
Clothing,409.57,2,Defective,Returned,36,Male,City97,Debit Card,Standard
Clothing,48.49,2,Wrong item,Returned,27,Male,City77,Credit Card,Standard
Books,365.3,4,Defective,Returned,70,Male,City60,Debit Card,Standard
Books,223.1,5,,Not Returned,25,Female,City78,Gift Card,Express
Toys,266.83,3,,Not Returned,60,Male,City77,Gift Card,Next-Day
Toys,333.67,5,Wrong item,Returned,61,Female,City19,PayPal,Express
Books,104.54,1,Changed mind,Returned,33,Female,City23,Gift Card,Next-Day
Electronics,359.03,2,,Not Returned,46,Male,City49,PayPal,Express
Clothing,385.95,4,Not as described,Returned,58,Male,City8,Debit Card,Standard
Clothing,354.81,3,Defective,Returned,64,Male,City24,Gift Card,Next-Day
Clothing,282.89,1,Defective,Returned,21,Female,City85,Debit Card,Standard
Books,394.63,3,Not as described,Returned,26,Female,City71,PayPal,Standard
Books,337.22,3,,Not Returned,31,Female,City47,PayPal,Standard
Electronics,392.03,5,Defective,Returned,21,Male,City29,Debit Card,Standard
Home,210.46,3,,Not Returned,26,Male,City26,Gift Card,Express
Home,394.61,4,,Not Returned,18,Female,City95,Gift Card,Express
Books,182.75,5,Not as described,Returned,70,Male,City59,PayPal,Next-Day
Books,161.86,3,Defective,Returned,39,Male,City12,Credit Card,Next-Day
Home,418.05,5,Defective,Returned,33,Female,City9,Gift Card,Standard
Books,124.04,2,,Not Returned,58,Female,City26,PayPal,Next-Day
Clothing,12.83,4,Defective,Returned,40,Female,City69,Credit Card,Express
Home,296.09,1,Wrong item,Returned,54,Male,City84,Debit Card,Express
Electronics,411.49,2,Wrong item,Returned,49,Male,City39,Gift Card,Standard
Clothing,389.91,2,Wrong item,Returned,44,Male,City24,PayPal,Express
Clothing,119.65,3,Wrong item,Returned,40,Male,City62,Gift Card,Next-Day
Electronics,362.72,3,,Not Returned,49,Female,City37,Credit Card,Express
Toys,257.04,5,,Not Returned,69,Male,City76,Credit Card,Express
Books,338.15,5,Wrong item,Returned,29,Female,City99,PayPal,Next-Day
Home,433.58,5,Not as described,Returned,30,Male,City76,Gift Card,Next-Day
Home,431.36,5,,Not Returned,29,Female,City12,Debit Card,Express
Clothing,181.12,5,Changed mind,Returned,59,Male,City74,Credit Card,Standard
Books,401.31,2,,Not Returned,50,Male,City80,Gift Card,Standard
Electronics,494.96,2,Changed mind,Returned,50,Female,City58,Gift Card,Standard
Electronics,418.25,2,Not as described,Returned,22,Male,City55,PayPal,Standard
Clothing,477.66,3,Defective,Returned,67,Male,City2,PayPal,Next-Day
Home,372.61,2,,Not Returned,51,Female,City91,Gift Card,Next-Day
Electronics,449.62,1,,Not Returned,67,Female,City35,Gift Card,Express
Toys,43.12,1,Defective,Returned,63,Male,City5,Credit Card,Standard
Toys,138.11,4,,Not Returned,61,Male,City51,Gift Card,Express
Clothing,296.53,1,,Not Returned,24,Female,City22,Debit Card,Express
Home,404.99,3,Not as described,Returned,43,Male,City8,Debit Card,Standard
Clothing,139.65,3,Wrong item,Returned,55,Female,City68,Credit Card,Next-Day
Home,76.45,1,,Not Returned,65,Male,City79,PayPal,Standard
Clothing,456.02,3,Changed mind,Returned,59,Female,City35,Gift Card,Express
Home,218.33,3,,Not Returned,58,Male,City55,Gift Card,Next-Day
Electronics,101.63,2,,Not Returned,55,Male,City77,Credit Card,Express
Books,423.45,2,Changed mind,Returned,29,Female,City75,PayPal,Standard
Clothing,271.7,4,,Not Returned,39,Female,City25,Credit Card,Standard
Toys,264.28,4,,Not Returned,57,Male,City37,PayPal,Express
Clothing,365.89,5,Not as described,Returned,27,Male,City43,Credit Card,Standard
Home,138.37,5,,Not Returned,39,Female,City34,PayPal,Express
Home,67.17,3,,Not Returned,39,Male,City30,Debit Card,Next-Day
Clothing,341.18,4,Wrong item,Returned,45,Female,City49,Debit Card,Express
Electronics,192.67,2,Wrong item,Returned,53,Female,City4,Gift Card,Next-Day
Clothing,191.95,2,Changed mind,Returned,41,Female,City77,Gift Card,Standard
Toys,471.67,1,,Not Returned,31,Female,City70,Gift Card,Next-Day
Clothing,68.22,3,,Not Returned,28,Male,City30,Credit Card,Standard
Electronics,160.79,3,Defective,Returned,46,Female,City99,Gift Card,Express
Books,171.71,1,Wrong item,Returned,69,Female,City99,Debit Card,Next-Day
Books,237.12,3,Changed mind,Returned,67,Male,City97,Gift Card,Standard
Home,84.91,2,,Not Returned,47,Female,City69,Gift Card,Next-Day
Clothing,24.7,3,,Not Returned,65,Female,City11,Credit Card,Next-Day
Books,60.37,5,,Not Returned,70,Female,City64,Debit Card,Standard
Books,255.86,5,,Not Returned,66,Male,City1,Credit Card,Standard
Home,88.69,1,,Not Returned,27,Male,City47,Debit Card,Next-Day
Books,301.95,4,,Not Returned,55,Female,City57,Gift Card,Next-Day
Home,151.35,3,,Not Returned,33,Female,City33,PayPal,Next-Day
Toys,20.94,3,,Not Returned,23,Male,City95,PayPal,Standard
Home,233.12,4,,Not Returned,28,Female,City21,Credit Card,Next-Day
Electronics,383.5,4,,Not Returned,52,Female,City7,Gift Card,Standard
Home,342.22,5,,Not Returned,29,Female,City100,Gift Card,Next-Day
Home,33.98,4,,Not Returned,70,Male,City94,PayPal,Express
Books,109.47,3,,Not Returned,47,Female,City86,PayPal,Express
Home,208.84,4,,Not Returned,54,Female,City60,Credit Card,Next-Day
Clothing,45.39,5,Defective,Returned,45,Male,City99,Gift Card,Express
Books,388.93,4,Defective,Returned,47,Male,City41,PayPal,Standard
Toys,431.22,2,,Not Returned,47,Male,City18,Credit Card,Express
Toys,118.16,2,,Not Returned,40,Female,City53,PayPal,Next-Day
Electronics,58.79,5,,Not Returned,59,Male,City39,Gift Card,Express
Home,299.49,4,,Not Returned,56,Female,City16,PayPal,Express
Books,392.99,1,Changed mind,Returned,23,Male,City32,PayPal,Next-Day
Clothing,245.04,5,Defective,Returned,70,Female,City98,PayPal,Standard
Electronics,204.18,5,Changed mind,Returned,61,Female,City51,PayPal,Standard
Electronics,463.78,4,,Not Returned,22,Female,City80,Debit Card,Next-Day
Toys,414.45,4,,Not Returned,31,Female,City80,Gift Card,Express
Toys,198.8,4,Wrong item,Returned,46,Male,City40,Debit Card,Next-Day
Books,56.53,5,,Not Returned,22,Male,City96,Gift Card,Next-Day
Clothing,188.68,4,,Not Returned,18,Female,City23,Credit Card,Next-Day
Home,249.94,5,Wrong item,Returned,49,Female,City66,Gift Card,Standard
Clothing,350.28,2,Not as described,Returned,53,Female,City86,Credit Card,Standard
Books,311.11,5,,Not Returned,42,Female,City67,Credit Card,Next-Day
Electronics,214.95,4,,Not Returned,58,Female,City1,Credit Card,Next-Day
Home,448.77,2,Changed mind,Returned,68,Female,City79,Credit Card,Express
Toys,209.24,5,,Not Returned,49,Male,City6,Gift Card,Express
Books,31,2,,Not Returned,37,Female,City99,Credit Card,Express
Home,74.01,2,Wrong item,Returned,30,Female,City20,Debit Card,Next-Day
Electronics,219.57,5,,Not Returned,54,Female,City24,Debit Card,Next-Day
Books,253.18,2,Defective,Returned,31,Female,City34,Debit Card,Standard
Home,340.11,4,,Not Returned,56,Male,City12,Gift Card,Standard
Clothing,380.84,1,Wrong item,Returned,51,Male,City52,PayPal,Express
Home,89.5,3,Changed mind,Returned,37,Male,City70,Gift Card,Next-Day
Toys,61.87,2,,Not Returned,37,Female,City89,Debit Card,Standard
Home,220.9,4,Defective,Returned,25,Female,City59,PayPal,Express
Clothing,244.73,1,Defective,Returned,69,Male,City33,Credit Card,Standard
Electronics,39.41,1,Not as described,Returned,19,Female,City64,Gift Card,Standard
Toys,194.2,5,,Not Returned,49,Male,City87,PayPal,Express
Toys,471.71,5,Wrong item,Returned,54,Male,City63,Debit Card,Next-Day
Home,142.42,2,,Not Returned,30,Female,City41,Credit Card,Standard
Toys,347.56,1,Changed mind,Returned,69,Female,City8,Gift Card,Express
Electronics,153.92,1,,Not Returned,27,Female,City36,Credit Card,Standard
Books,302.12,1,,Not Returned,51,Female,City23,Credit Card,Express
Home,96.49,5,Wrong item,Returned,67,Female,City75,Debit Card,Standard
Electronics,126.57,5,Changed mind,Returned,51,Female,City97,Gift Card,Express
Books,479.19,5,,Not Returned,39,Male,City44,Debit Card,Next-Day
Clothing,425.24,4,Not as described,Returned,33,Male,City69,Gift Card,Next-Day
Clothing,363.54,5,Changed mind,Returned,39,Female,City29,Debit Card,Next-Day
Electronics,430.6,4,Wrong item,Returned,49,Male,City89,PayPal,Next-Day
Electronics,282.42,4,,Not Returned,19,Male,City3,Credit Card,Next-Day
Electronics,461.16,3,Not as described,Returned,32,Male,City5,Debit Card,Next-Day
Books,92.54,1,,Not Returned,37,Female,City99,Gift Card,Express
Toys,253.03,3,,Not Returned,37,Male,City24,Gift Card,Express
Toys,289.71,3,,Not Returned,40,Female,City36,PayPal,Standard
